"binAges","ens1","ens2","ens3","ens4","ens5","ens6","ens7","ens8","ens9","ens10","ens11","ens12","ens13","ens14","ens15","ens16","ens17","ens18","ens19","ens20","ens21","ens22","ens23","ens24","ens25","ens26","ens27","ens28","ens29","ens30","ens31","ens32","ens33","ens34","ens35","ens36","ens37","ens38","ens39","ens40","ens41","ens42","ens43","ens44","ens45","ens46","ens47","ens48","ens49","ens50"
0,0.0282342653781991,-0.183635531814195,-0.0649124899165986,0.0686534241386034,0.10214876681394,0.0344315179938336,-0.0657815057857469,-0.175431896639392,0.220436663893003,-0.0075756802709393,-0.0209105929729302,0.00902603310283989,0.076904646289777,0.128305876015706,-0.0785090334438334,0.106823398558041,-0.115046299673387,0.00746083223024407,-0.0930396171772915,-0.00891579412486013,0.0792806253781417,-0.115421595139585,-0.0910945249954056,-0.0223484783745826,-0.092914143301226,0.0675898217987893,-0.113312398498461,-0.105761283387834,0.19342965410618,0.198918287002152,-0.0232547692353636,-0.0826251204905909,0.0676606628955734,0.145092497519922,-0.0184923567653237,0.144176623621954,-0.105419871897856,-0.00691058550442117,0.0928934596756429,-0.00731879380942907,0.18013281666736,-0.0297001911795609,0.0758243185492634,-0.067236835595724,-0.0819570163632766,0.123127476910782,-0.0916769298127133,-0.0888399363234994,-0.147549621341442,-0.026938617523183
100,0.0212483686460499,-0.144961525095848,-0.0349737624489566,0.0724123655102266,0.113996497121413,0.0559925235590326,-0.0425948466415108,-0.174935058886479,0.214291485094718,-0.00120976659206989,0.0158088528089304,0.043370200206372,0.0641812008010364,0.0994687569860856,-0.0682714141938003,0.134248682971671,-0.0842910812196088,0.000736045124792306,-0.0678265988626142,-0.0510045335559626,0.0880687635336734,-0.0730769946455512,-0.126714131984463,0.0188971416976552,-0.0593050136638263,0.0879937386559456,-0.0914419220760781,-0.11648709476929,0.188733730076,0.187654930236571,-0.00176278230693011,-0.0750500658218024,0.0969991379465698,0.131946442618058,0.0182763210707944,0.141934297926164,-0.0948785454074073,-0.0168580930048107,0.0833945839845817,-0.000229268282582795,0.171921235462469,0.000229268282582795,0.0956564241723106,-0.0290241405923803,-0.0705341318575856,0.126551458731682,-0.069349967325922,-0.0892922067274518,-0.127445423347267,-0.048909342550116
200,0.00727657518175157,-0.0676135116591542,0.0249036924863274,0.0799302482534731,0.13769195773636,0.0991145346894304,0.00377847164696132,-0.173941383380655,0.202001127498147,0.0115220607656689,0.0892477443726515,0.112058534413436,0.0387343098235551,0.0417945189268443,-0.0477961756937341,0.18909925179893,-0.0227806443120527,-0.0127135290861115,-0.0174005622332595,-0.135182012418168,0.105645039844737,0.0116122063425168,-0.197953345962576,0.101388381842131,0.00791324561097312,0.128801572370258,-0.0477009692313123,-0.137938717532204,0.179341882015638,0.165128216705409,0.0412211915499368,-0.0598999564842254,0.155676088048562,0.10565433281433,0.0918136767430306,0.137449646534585,-0.0737958924265106,-0.0367531080055898,0.0643968326024594,0.0139497827711096,0.155498073052686,0.0600881872068701,0.135320635418405,0.047401249414307,-0.0476883628462034,0.133399422373482,-0.0246960423523392,-0.0901967475353563,-0.0872370273589183,-0.092850792603982
300,0.0173403072750393,-0.0352453692555994,0.0562457604126983,0.0761324133312586,0.144242649670063,0.0974893108580376,0.042817545993907,-0.179072270535279,0.189068044663265,0.0332182237927942,0.111162970379895,0.120808861811577,0.0384131857861329,0.0135764913750119,0.00723606627795542,0.211368921654518,0.0207525157094943,-0.0115832230272129,-0.0108783364401354,-0.160711005297665,0.0919660999388833,0.0430171769500646,-0.192329420951252,0.104611532679048,0.0492841083002262,0.141467453712301,-0.0241926725183741,-0.11201591411187,0.183113249928926,0.143686320561544,0.0804227527169882,-0.0455109328570225,0.131543510177915,0.0782697466612988,0.110492249101439,0.121555445570355,-0.0309002274874982,-0.0529318958983054,0.0510411430767462,0.0262947747243481,0.127491167981887,0.108059533771303,0.1587968882285,0.0856445534986325,-0.0310026020750983,0.105791410448249,0.0330505975535446,-0.074577387360232,-0.0583970402102008,-0.141811499682507
400,0.0514395649259132,-0.0478570978851838,0.059052441330156,0.0610188607435832,0.133648572922524,0.0511168520648541,0.074522376399326,-0.190327720350353,0.175492236590072,0.0638787224893059,0.0815545308306594,0.0696211824007948,0.0632178286887697,0.0148146743305886,0.0968253117212682,0.201057692538435,0.0463083988450322,0.00412696330148765,-0.0482599214832415,-0.127591512194454,0.047031943816113,0.0211379171770925,-0.10984235695049,0.0285665942084075,0.0648075744039331,0.125991382682075,-0.0209170319372637,-0.0387186845082893,0.200047833815862,0.123329241804975,0.115841901194224,-0.0318829949401935,0.0246014043346284,0.0497926841589652,0.0743120381460186,0.0942516950334724,0.0338084494096301,-0.0653944566829574,0.0433275154074424,0.0368057075771325,0.0879005202500709,0.144143307975883,0.166085182602597,0.0857057716605965,-0.02047684954427,0.0437274229559827,0.103889952391729,-0.0424341262020785,-0.040925461901115,-0.19579146378569
500,0.0625828801631299,-0.0351337123098808,0.0622023664160986,0.049616761925923,0.160326544173976,0.0293446550508344,0.0835760863025429,-0.188740216559519,0.138504429840224,0.100218495759846,0.0813762518547812,0.0360691157068599,0.0748838914736145,0.0282467807667321,0.151085809764747,0.1798394897535,0.0717215144641799,0.0392212582990875,-0.0581608111771857,-0.119409642886949,0.0212206446920659,0.0191867555522567,-0.045427740710566,0.000463102430130147,0.0623889995773983,0.149561642797398,-0.00190314797808799,0.0250985988636974,0.207260228539807,0.121914472294743,0.141580902572712,-0.0049399077421789,-0.00083844108644554,0.0651291495234572,0.061375180623453,0.095281336919995,0.0497129633431769,-0.0725342008323822,0.066609666896597,0.058016465789218,0.0890793451091556,0.177088461537091,0.143701595661741,0.103833839737943,0.018147748386068,0.0153548188698749,0.144614888327502,-0.0517636645816609,-0.044158115944527,-0.182643265647893
600,0.0507702529866896,0.0029247874703095,0.0656955356705258,0.0419261168782782,0.224276563424419,0.0321727198159787,0.0699786757035576,-0.174309759162776,0.0781046244137196,0.142237543604414,0.11062813345226,0.0201526617297726,0.0734113741406673,0.0538728106834424,0.170017560408392,0.147714313299713,0.0969918625669375,0.0936996619655863,-0.0405810055219681,-0.136165397375149,0.0145322025667419,0.0371636920755574,0.00091442776852052,0.0203010573442163,0.0420283838206219,0.212178234058269,0.0328489793591528,0.0794359360040903,0.204750434100763,0.139442012030846,0.157639756852453,0.0353183287370213,0.0552239739146933,0.124279142754775,0.071681676533742,0.124644371229923,0.0168133143131424,-0.0743511283465794,0.12088759754421,0.0899270493606046,0.131027642559141,0.206894994454928,0.0916461274059347,0.140028757730671,0.0848711917159159,0.0206735981899251,0.155225405360862,-0.102566002498979,-0.0680950023404367,-0.102366905269115
700,0.0545964427968996,0.0108761224682095,0.0812841171337613,0.0583351619276766,0.244308830410715,0.0545621281564949,0.063042867345047,-0.154097219396176,0.0602322365199054,0.148181258904262,0.138950348245423,0.0296573867089465,0.0406779662111023,0.0694914414708162,0.161045976404629,0.13383686435424,0.083111314898113,0.106321972083734,0.0241914647476879,-0.139771886921747,0.00302152373471459,0.0348487721990889,0.0016215026808421,0.0327122188488797,0.0592625656007482,0.219853862594557,0.0334160463144648,0.088064569780339,0.19894413508556,0.141254179356957,0.15967163011514,0.081148114662342,0.0984367068614749,0.177938310006759,0.0742305038229158,0.155142782939208,-0.0164072184802652,-0.100531998255582,0.121203167273458,0.0864040041501592,0.139884315094214,0.234807266144919,0.0444580310120122,0.155284590450826,0.0894159490418851,0.0171944692688403,0.157002036110646,-0.104970458835778,-0.0809351028218075,-0.0683569750306381
800,0.07406144959376,-0.011279707316181,0.108968110805805,0.0988438970741184,0.220423345132862,0.0965128800723829,0.0627686612270111,-0.128102597259719,0.0848872661587811,0.118049641659389,0.16634289623427,0.0645832906443817,-0.0233163323150806,0.0751026731288535,0.124171057753459,0.138207142917081,0.0300798714577065,0.0770881886535301,0.136156599631782,-0.130229111526744,-0.0133113918040161,0.0122419959228511,-0.0433065159736014,0.0376965869441204,0.114091544917777,0.172588528406262,-0.000201947112152157,0.0509845001924435,0.1898413314942,0.127350974273076,0.147676522360773,0.132549450033783,0.128799757753899,0.226106651279409,0.0690216624909746,0.18677657204785,-0.0499486350370456,-0.15107681055939,0.0675563760843407,0.0474473301578817,0.115649362714374,0.260825276607062,0.00213730647997384,0.149601337898406,0.0317820203639756,0.00491743210662027,0.149944780576854,-0.0589770335920573,-0.082678417388639,-0.0806134749324616
900,0.0812950360506492,0.00727338890193485,0.118315971019813,0.13545723176107,0.217267123443791,0.125909895137247,0.115786630429108,-0.113208438782686,0.111272452044942,0.1288591532957,0.195769646669845,0.0911424724603803,-0.0170448179448585,0.08623527269354,0.100186721540512,0.139115813639951,0.0369288672953887,0.0734198335622129,0.180712137475494,-0.12608733914132,-0.00545821294890586,0.0562230425218784,-0.0229468319837572,0.0837770171233415,0.122651602564937,0.134532735761493,0.00676891902581073,0.054026691931971,0.191743112780024,0.146209014252871,0.14925665655973,0.1493639625994,0.144929590270289,0.213848469683526,0.0805683049780977,0.215512428542205,-0.0616910951175884,-0.133300490970929,0.0479605997880637,0.0333829823826387,0.0914980744515587,0.246088113359309,0.00744244066317407,0.155195193235566,0.0185503793490241,0.0108340170247753,0.12629899015161,-0.0050826006084263,-0.0851413747928735,-0.0719834193817646
